关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接,说明
精密轴承,核心部件与本体,电机与基础机械件,基础设施,1,component,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,通用性强，仅在机器人/本体上下文中记录低分
交叉滚子轴承,核心部件与本体,电机与基础机械件,基础设施,1,component,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,通用性强，仅在机器人/本体上下文中记录低分
轴承,核心部件与本体,电机与基础机械件,基础设施,1,component,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,通用性强，仅在机器人/本体上下文中记录低分
绝对值编码器,核心部件与本体,位置与运动反馈,基础设施,1,component,需机器人/物理本体上下文,公开资本研报补充,浙商证券、国金证券人形机器人产业链报告,https://pdf.dfcfw.com/pdf/H301_AP202307031591987350_1.pdf,
双编码器,核心部件与本体,位置与运动反馈,基础设施,1,component,需机器人/物理本体上下文,公开资本研报补充,浙商证券、国金证券人形机器人产业链报告,https://pdf.dfcfw.com/pdf/H301_AP202307031591987350_1.pdf,
磁编码器,核心部件与本体,位置与运动反馈,基础设施,1,component,需机器人/物理本体上下文,公开资本研报补充,浙商证券、国金证券人形机器人产业链报告,https://pdf.dfcfw.com/pdf/H301_AP202307031591987350_1.pdf,
光电编码器,核心部件与本体,位置与运动反馈,基础设施,1,component,需机器人/物理本体上下文,公开资本研报补充,浙商证券、国金证券人形机器人产业链报告,https://pdf.dfcfw.com/pdf/H301_AP202307031591987350_1.pdf,
角度编码器,核心部件与本体,位置与运动反馈,基础设施,1,component,需机器人/物理本体上下文,公开资本研报补充,浙商证券、国金证券人形机器人产业链报告,https://pdf.dfcfw.com/pdf/H301_AP202307031591987350_1.pdf,
位置编码器,核心部件与本体,位置与运动反馈,基础设施,1,component,需机器人/物理本体上下文,公开资本研报补充,浙商证券、国金证券人形机器人产业链报告,https://pdf.dfcfw.com/pdf/H301_AP202307031591987350_1.pdf,
机器人编码器,核心部件与本体,位置与运动反馈,基础设施,1,component,需机器人/物理本体上下文,公开资本研报补充,浙商证券、国金证券人形机器人产业链报告,https://pdf.dfcfw.com/pdf/H301_AP202307031591987350_1.pdf,
执行系统,核心部件与本体,执行与移动系统,基础设施,2,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
移动底盘,核心部件与本体,执行与移动系统,基础设施,2,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
轮式底盘,核心部件与本体,执行与移动系统,基础设施,2,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
线控底盘,核心部件与本体,执行与移动系统,基础设施,2,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
舵机,核心部件与本体,执行与移动系统,基础设施,2,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
运动执行器,核心部件与本体,执行与移动系统,基础设施,2,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
抓取机构,核心部件与本体,执行与移动系统,基础设施,2,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
操作机构,核心部件与本体,执行与移动系统,基础设施,2,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人能源系统,核心部件与本体,能源系统,基础设施,1,component,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
固态电池,核心部件与本体,能源系统,基础设施,1,component,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
高能量密度电池,核心部件与本体,能源系统,基础设施,1,component,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
高倍率电池,核心部件与本体,能源系统,基础设施,1,component,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
氢燃料电池,核心部件与本体,能源系统,基础设施,1,component,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
氢动力机器人,核心部件与本体,能源系统,基础设施,1,component,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
高性能材料结构件,核心部件与本体,高性能材料结构件,基础设施,1,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
轻量化结构件,核心部件与本体,高性能材料结构件,基础设施,1,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
铝合金结构件,核心部件与本体,高性能材料结构件,基础设施,1,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
碳纤维复合材料,核心部件与本体,高性能材料结构件,基础设施,1,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
聚醚醚酮,核心部件与本体,高性能材料结构件,基础设施,1,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
PEEK,核心部件与本体,高性能材料结构件,基础设施,1,component,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
端侧计算芯片,云边端与平台,端侧计算,基础设施,3,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人计算芯片,云边端与平台,端侧计算,基础设施,3,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
端侧推理,云边端与平台,端侧计算,基础设施,3,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
模型端侧部署,云边端与平台,端侧计算,基础设施,3,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
高算力控制器,云边端与平台,端侧计算,基础设施,3,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
算控一体,云边端与平台,端侧计算,基础设施,3,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
算控一体化,云边端与平台,端侧计算,基础设施,3,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
端侧大算力,云边端与平台,端侧计算,基础设施,3,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
边缘端推理,云边端与平台,端侧计算,基础设施,3,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
云边端协同,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
云-边-端,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
云－边－端,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
端边云协同,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
边云协同,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
云端训练,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
分布式计算,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
跨本体管理,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
端云适配,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数据上传,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
模型部署,云边端与平台,云边端协同,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
具身智能开放平台,云边端与平台,云侧服务,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人云平台,云边端与平台,云侧服务,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数据服务,云边端与平台,云侧服务,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
模型服务,云边端与平台,云侧服务,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿真服务,云边端与平台,云侧服务,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿真训练平台,云边端与平台,云侧服务,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
开发工具链,云边端与平台,云侧服务,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人上下文协议,云边端与平台,云侧服务,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人操作系统,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
ROS,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
ROS 2,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
中间件,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数据分发服务,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
DDS,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
具身操作系统,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
跨本体开发,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
模型调度,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
异构算力整合,云边端与平台,操作系统与中间件,基础设施,3,platform,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
端侧芯片,云边端与平台,底座支撑,基础设施,1,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
通信模组,云边端与平台,底座支撑,基础设施,1,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人通信模组,云边端与平台,底座支撑,基础设施,1,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人存储,云边端与平台,底座支撑,基础设施,1,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
大内存带宽,云边端与平台,底座支撑,基础设施,1,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
低功耗计算,云边端与平台,底座支撑,基础设施,1,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
热管理系统,云边端与平台,底座支撑,基础设施,1,platform,需机器人/物理本体上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
具身智能真实世界评测,评测安全与工程化,真实世界评测,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
机器人真实世界评测,评测安全与工程化,真实世界评测,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
具身智能评测体系,评测安全与工程化,真实世界评测,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
具身任务评测,评测安全与工程化,真实世界评测,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
开放环境评测,评测安全与工程化,真实世界评测,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
仿真评测,评测安全与工程化,真实世界评测,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
真机评测,评测安全与工程化,真实世界评测,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
具身模型加速,评测安全与工程化,模型加速与轻量化,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
具身算法加速,评测安全与工程化,模型加速与轻量化,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
具身模型轻量化,评测安全与工程化,模型加速与轻量化,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
机器人模型轻量化,评测安全与工程化,模型加速与轻量化,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
机器人模型量化,评测安全与工程化,模型加速与轻量化,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
机器人模型剪枝,评测安全与工程化,模型加速与轻量化,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
机器人推理加速,评测安全与工程化,模型加速与轻量化,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
具身智能安全,评测安全与工程化,安全与价值对齐,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会《具身智能（2026修订版）》及十五大方向,https://www.caai.cn/site/content/7747.html,
具身安全,评测安全与工程化,安全与价值对齐,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会《具身智能（2026修订版）》及十五大方向,https://www.caai.cn/site/content/7747.html,
具身价值对齐,评测安全与工程化,安全与价值对齐,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会《具身智能（2026修订版）》及十五大方向,https://www.caai.cn/site/content/7747.html,
机器人价值对齐,评测安全与工程化,安全与价值对齐,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会《具身智能（2026修订版）》及十五大方向,https://www.caai.cn/site/content/7747.html,
安全动作策略,评测安全与工程化,安全与价值对齐,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会《具身智能（2026修订版）》及十五大方向,https://www.caai.cn/site/content/7747.html,
安全策略学习,评测安全与工程化,安全与价值对齐,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会《具身智能（2026修订版）》及十五大方向,https://www.caai.cn/site/content/7747.html,
机器人行为安全,评测安全与工程化,安全与价值对齐,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会《具身智能（2026修订版）》及十五大方向,https://www.caai.cn/site/content/7747.html,
人机共融安全,评测安全与工程化,安全与价值对齐,技术服务,3,core,无需上下文,公开科研白皮书补充,中国人工智能学会《具身智能（2026修订版）》及十五大方向,https://www.caai.cn/site/content/7747.html,
工业制造,行业应用,工业制造,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
汽车装配,行业应用,工业制造,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
3C电子工厂,行业应用,工业制造,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
柔性制造,行业应用,工业制造,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
物流分拣,行业应用,工业制造,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
产线作业,行业应用,工业制造,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仓储搬运,行业应用,工业制造,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
设备巡检,行业应用,工业制造,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
电力巡检,行业应用,工业制造,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
商业服务,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
智慧药房,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
取货送货,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
补货,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
无人零售,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
家庭服务,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
家庭康养,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
接待导览,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
展厅讲解,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
教育陪伴,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
餐饮服务,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
安全应急,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
应急救援,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
安防巡逻,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
灾害搜救,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
危险环境作业,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
防爆作业,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
消防救援,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
野外探索,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
月球探测,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
无人配送,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
物流配送,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
农林植保,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
测绘勘探,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
安防监控,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主起降,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
城市空中交通,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
水文监测,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
河道运维,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主靠离泊,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
康复训练,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
康复机器人,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
辅助行走,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
肢体运动康复,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
靶向给药,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
细胞操作,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
医疗急救,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
