关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接
生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
工业生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
先进生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
绿色生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
低碳生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
合成生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
微生物制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
生物法制造,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
生物制造技术,生物制造基础,核心概念,技术平台,5,core,无需上下文,两份报告直接词,用户提供的两份生物制造相关报告,
合成生物学,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
工程生物学,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
工业合成生物学,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
合成生物技术,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
合成生物平台,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
合成生物制造平台,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
SynBio,生物制造基础,合成生物学,技术平台,5,core,无需上下文,两份报告直接词/公开研报补充,用户提供的两份生物制造相关报告,
工业生物技术,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,
工业生物工程,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,
工业微生物技术,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,
工业微生物工程,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,
生物过程工程,生物制造基础,工业生物技术,技术平台,5,core,无需上下文,2024报告/中科院公开方向,用户提供的两份生物制造相关报告,
设计-构建-测试-学习,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,
设计—构建—测试—学习,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,
设计构建测试学习,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,
DBTL,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,
DBTL循环,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,
DBTL闭环,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,
生物工程闭环,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,
设计构建工作循环,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,
生物铸造厂,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
生物铸造平台,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
Biofoundry,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
合成生物自动化平台,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
自动化生物制造平台,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
自动化菌种构建平台,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
虚拟细胞,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html
全细胞模型,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html
数字细胞,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html
细胞数字孪生,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html
细胞机理模型,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html
工业底盘细胞模型,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html
机理模型与人工智能双驱动,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html
生成式生物学,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,
生成生物学,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,
基因组基础模型,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,
基因组大模型,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,
DNA基础模型,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,
生物基础模型,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,
Evo 2,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,
Evo2,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,
蛋白质基础模型,计算设计与AI,蛋白与抗体基础模型,底层工具,4,contextual,需生物工程与生产制造上下文,SETR直接词/科研机构补充,SETR 2026标注页41—42；需生产制造上下文以排除一般药物发现,
蛋白质大模型,计算设计与AI,蛋白与抗体基础模型,底层工具,4,contextual,需生物工程与生产制造上下文,SETR直接词/科研机构补充,SETR 2026标注页41—42；需生产制造上下文以排除一般药物发现,
抗体基础模型,计算设计与AI,蛋白与抗体基础模型,底层工具,4,contextual,需生物工程与生产制造上下文,SETR直接词/科研机构补充,SETR 2026标注页41—42；需生产制造上下文以排除一般药物发现,
抗体生成模型,计算设计与AI,蛋白与抗体基础模型,底层工具,4,contextual,需生物工程与生产制造上下文,SETR直接词/科研机构补充,SETR 2026标注页41—42；需生产制造上下文以排除一般药物发现,
计算生物学设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
菌种计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
菌种从头设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
细胞工厂计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
计算辅助生物设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
生物系统计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
生物CAD,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
代谢途径计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
生物线路计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html
AI蛋白质设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
人工智能蛋白质设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
AI酶设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
酶智能设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
蛋白质从头设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
抗体从头设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
生成式蛋白质设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
蛋白质序列生成,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
蛋白结构预测,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
酶功能预测,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,
系统生物学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
定量生物学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
多组学分析,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
基因组学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
转录组学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
蛋白质组学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
代谢组学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
代谢网络模型,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
代谢调控网络,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
基因调控网络,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
基因型-表型,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
基因型－表型,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
生物知识图谱,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,
基因测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
DNA测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
高通量测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
下一代测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
纳米孔测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
长读长测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
单分子测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
便携式DNA测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
NGS,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
基因合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
DNA合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
DNA从头合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
寡核苷酸合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
酶促DNA合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
大规模DNA合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
超高密度DNA合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
DNA组装,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
基因组装,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
基因组合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
合成基因组,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
人工合成基因组,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,
基因编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
基因组编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
CRISPR,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
CRISPR/Cas,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
CRISPR-Cas9,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
碱基编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
先导编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
TALEN,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
MAGE,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
多重基因组编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
基因敲除,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
基因敲入,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
定点突变,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
定向突变,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
RNA调控装置,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
RNA开关,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
核糖开关,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
RNA编辑,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
合成RNA,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
非编码RNA调控,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
mRNA设计,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
转录后调控,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
翻译调控,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
DNA数据存储,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,
DNA信息存储,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,
合成DNA存储,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,
DNA存储介质,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,
DNA编码存储,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,
DNA折纸,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,
