关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接
DNA纳米结构,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,
生物元件,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
标准化生物元件,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物零件,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
BioBrick,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
BioBricks,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
元件库,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
表达元件库,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
启动子库,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
终止子库,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
核糖体结合位点,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
RBS元件,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
基因线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
合成基因线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
遗传线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
基因回路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
生物逻辑门,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
基因开关,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
遗传开关,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
基因振荡器,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
生物振荡器,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
动态调控线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
感应调控线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
生物模块,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
基因模块,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
模块化装配,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
标准化装配,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
DNA模块组装,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
多基因组装,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
组合生物合成,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
组合式途径构建,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
底盘细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
工业底盘细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
微生物底盘,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
底盘菌株,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
模式底盘,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
通用底盘细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
非模式底盘,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
最小细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
人工合成细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
合成细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,
工业菌种创制,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
工业菌株创制,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
工程菌株构建,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
工程菌构建,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
重组菌构建,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
生产菌株构建,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
高产菌株,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
高效生产菌株,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
细胞工厂菌株,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
定制菌种,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
菌种设计定制,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html
菌种选育,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
菌株选育,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
微生物育种,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
诱变育种,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
复合诱变,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
ARTP,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
常压室温等离子体诱变,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
基因组改组,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
核糖体工程,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
全基因组诱变,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,
大肠杆菌底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
酿酒酵母底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
毕赤酵母底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
枯草芽孢杆菌底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
谷氨酸棒状杆菌底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
链霉菌底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
黑曲霉底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
米曲霉底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
微藻底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
光合细胞工厂,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
基因组精简,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
基因组简化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
最小基因组,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
非必需基因删除,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
底盘细胞优化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
底盘优化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
宿主细胞优化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
细胞资源重分配,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
前体供给强化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
辅因子工程,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,
菌株耐受性,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
产物耐受性,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
底物耐受性,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
毒性耐受,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
耐高温菌株,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
耐酸菌株,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
耐溶剂菌株,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
适应性实验室进化,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
适应性进化,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
ALE育种,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
代谢负担优化,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,
合成微生物群落,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,
人工微生物群落,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,
微生物群落工程,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,
微生物共培养,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,
多菌种共培养,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,
合成菌群,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,
微生物联合体,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,
分工代谢,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,
群落代谢工程,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,
细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,
微生物细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,
工程细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,
人造细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,
高效细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,
全细胞催化工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,
细胞工厂构建,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,
细胞工厂优化,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,
代谢工程,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
代谢途径工程,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
代谢通路改造,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
代谢通路重构,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
合成代谢途径,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
异源代谢途径,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
生物合成途径,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
代谢途径优化,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
途径组装,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
途径平衡,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,
代谢流分析,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
代谢通量分析,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
代谢流重定向,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
碳流重定向,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
动态代谢调控,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
静态代谢调控,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
反馈抑制解除,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
旁路代谢敲除,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
竞争途径敲除,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
产物通路强化,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,
高效表达系统,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
异源表达系统,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
重组表达系统,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
蛋白高效表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
异源蛋白表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
分泌表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
组成型表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
诱导表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
无诱导表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
表达宿主,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
表达盒,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,
