关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接
葡萄糖酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
苹果酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
富马酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
丙酮酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
丙酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
氨基酸发酵,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
有机酸发酵,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
天然产物生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
萜类生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
黄酮生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物碱生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
甾体生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
青蒿素生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
虾青素生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
麦角硫因生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
依克多因生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
红没药醇生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
青蒿素,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
紫杉醇,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
虾青素,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
麦角硫因,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
依克多因,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
四氢嘧啶,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
红没药醇,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
红景天苷,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
5-羟基色氨酸,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
熊果苷,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
NMN,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
辅酶Q10,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
核苷酸,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
肌醇,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
生物燃料,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
燃料乙醇,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
纤维素乙醇,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
生物柴油,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
生物天然气,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
生物甲醇,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
生物丁醇,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
可持续航空燃料,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
生物航空煤油,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
SAF,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
微生物产氢,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
细胞培养肉,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
培养肉,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
替代蛋白,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
微生物蛋白,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
单细胞蛋白,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
人造蛋白,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
微生物油脂,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
精准发酵乳蛋白,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
合成乳蛋白,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
人乳低聚糖,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
HMO,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
新型食品原料,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
功能性食品原料,产品与应用,食品与营养,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
工业酶制剂,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
饲料酶,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
食品酶制剂,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
洗涤酶,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
纺织酶,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
造纸酶,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
科研酶试剂,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
蛋白酶制剂,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
脂肪酶制剂,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
纤维素酶制剂,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
糖苷酶制剂,产品与应用,工业酶制剂,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,
重组蛋白药物,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
重组多肽药物,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
抗体药物生产,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
疫苗生物制造,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
细胞治疗产品制造,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
基因治疗载体生产,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
CAR-T细胞制备,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
通用型CAR-T,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
重组胶原蛋白,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
医药中间体生物合成,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
原料药生物制造,产品与应用,生物医药制造,应用产品,2,product,需生物工程与生产制造上下文,两份报告直接词/支持扩展,用户提供的两份生物制造相关报告,
重组胰岛素,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
重组生长激素,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
重组干扰素,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
重组白细胞介素,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
重组抗体,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
单克隆抗体,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
抗生素发酵,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
维生素发酵,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
胶原蛋白,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
透明质酸,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
肝素,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
血液制品,产品与应用,重组药物与生物活性原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,
农业合成生物学,产品与应用,农业生物制造,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物育种,产品与应用,农业生物制造,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
工程微生物菌剂,产品与应用,农业生物制造,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
合成生物肥料,产品与应用,农业生物制造,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物固氮,产品与应用,农业生物制造,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
微生物肥料,产品与应用,农业生物制造,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物农药,产品与应用,农业生物制造,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
饲料蛋白生物制造,产品与应用,农业生物制造,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
作物代谢工程,产品与应用,农业生物制造,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
工程菌环境修复,产品与应用,环境修复与资源化,应用产品,2,product,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
合成生物环境修复,产品与应用,环境修复与资源化,应用产品,2,product,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
微生物资源化,产品与应用,环境修复与资源化,应用产品,2,product,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
废弃物生物转化,产品与应用,环境修复与资源化,应用产品,2,product,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
污染物生物降解,产品与应用,环境修复与资源化,应用产品,2,product,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
塑料生物降解,产品与应用,环境修复与资源化,应用产品,2,product,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
微生物降解塑料,产品与应用,环境修复与资源化,应用产品,2,product,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
生物法废气资源化,产品与应用,环境修复与资源化,应用产品,2,product,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
生物法废水资源化,产品与应用,环境修复与资源化,应用产品,2,product,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,
生物制造电子材料,产品与应用,生物电子与含能材料,前沿制造,3,product,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页48—49,
生物合成电子材料,产品与应用,生物电子与含能材料,前沿制造,3,product,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页48—49,
生物制造含能材料,产品与应用,生物电子与含能材料,前沿制造,3,product,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页48—49,
生物合成含能材料,产品与应用,生物电子与含能材料,前沿制造,3,product,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页48—49,
生物制造推进剂,产品与应用,生物电子与含能材料,前沿制造,3,product,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页48—49,
生物合成磁性材料,产品与应用,生物电子与含能材料,前沿制造,3,product,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页48—49,
生物合成光纤,产品与应用,生物电子与含能材料,前沿制造,3,product,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页48—49,
DNA组装电子器件,产品与应用,生物电子与含能材料,前沿制造,3,product,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页48—49,
化妆品活性原料生物合成,产品与应用,消费品与个护原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
个护原料生物合成,产品与应用,消费品与个护原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
透明质酸发酵,产品与应用,消费品与个护原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
胶原蛋白生物制造,产品与应用,消费品与个护原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物表面活性剂,产品与应用,消费品与个护原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
香料生物合成,产品与应用,消费品与个护原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
色素生物合成,产品与应用,消费品与个护原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
功能糖生物制造,产品与应用,消费品与个护原料,应用产品,1,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物制造安全,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
合成生物安全,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
工程菌生物安全,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
生物安保,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
生物遏制,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
遗传防火墙,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
营养缺陷型遏制,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
自杀开关,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
基因防逃逸,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
环境释放风险,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
镜像生命,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
镜像微生物,安全质量与支撑,生物安全与生物安保,安全支撑,3,support,需生物工程与生产制造上下文,SETR直接词/支持扩展,SETR 2026标注页50—52,
生物制造质量控制,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
生物工艺质量控制,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
菌株质量标准,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
细胞库质量控制,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
种子批系统,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
主细胞库,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
工作细胞库,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
生物制造标准化,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
批次一致性,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
工艺验证,安全质量与支撑,质量控制与标准化,安全支撑,3,support,需生物工程与生产制造上下文,工业生物技术支持扩展,用户提供的两份生物制造相关报告,
生物合成仪,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
基因组装仪,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
DNA合成仪,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
自动化发酵设备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
菌种筛选设备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
高通量培养设备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物工艺装备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
生物制造中试装备,安全质量与支撑,生物制造装备,底层工具,3,support,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,
