第一申请人,申请人省市代码,first_year,last_year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,main_chain_position,main_quantum_category,firm_relevance
1QB信息技术公司,加拿大; CA,2019,2020,2,15,7.5,量子传感；量子计算,量子计算系统,量子处理器；量子技术；量子计算；量子计算机,1,1,0,0,量子计算系统,量子传感,较高相关企业
ANSYS LUMERICAL知识产权有限责任公司,美国; US,2021,2021,1,24,24.0,量子传感,量子传感器/精密测量,qubits；量子态；量子测量；量子电路；量子计算,1,0,0,0,量子传感器/精密测量,量子传感,核心量子企业
ATONARP株式会社,日本; JP,2019,2019,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
D-波系统公司,加拿大; CA,2019,2021,7,65,9.285714285714286,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,qubit；qubits；超导量子比特；量子处理器；量子比特；量子计算,5,2,0,0,量子计算系统,量子计算,核心量子企业
DH科技发展私人贸易有限公司,新加坡; SG,2020,2021,3,15,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,3,0,0,量子计算硬件/量子芯片,量子计算硬件,较高相关企业
ID量子技术公司,瑞士; CH,2019,2019,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分配,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
IFP新能源公司,法国; FR,2019,2019,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
IMEC 非营利协会,比利时; BE,2019,2019,1,5,5.0,量子计算,量子计算系统,qubit；量子比特,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
IQM芬兰有限公司,芬兰; FI,2022,2022,1,10,10.0,量子计算,量子计算系统,量子比特；量子计算,1,0,0,0,量子计算系统,量子计算,较高相关企业
Q-CTRL股份有限公司,澳大利亚; AU,2021,2021,1,10,10.0,量子计算,量子计算系统,qubit；qubits；量子处理器,1,0,0,0,量子计算系统,量子计算,较高相关企业
X开发有限责任公司,美国; US,2022,2022,1,20,20.0,量子通信与安全,量子通信与安全,量子中继；量子中继器；量子信息；量子模拟；量子通信,1,0,0,0,量子通信与安全,量子通信与安全,核心量子企业
万机仪器公司,美国; US,2021,2021,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
三峡大学,湖北; 42,2019,2021,5,41,8.2,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,QKD；抗量子攻击；量子信息；量子密钥；量子密钥分配；量子态；量子通信,2,0,3,0,其他量子相关/待复核,量子基础概念,核心量子企业
上海交通大学,上海; 31,2019,2022,34,180,5.294117647058823,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,entanglement；fidelity；laser；lasers；superposition；保真度；光学频率传递；光调制器；光量子比特；光量子计算；光钟；原子钟；叠加态；时间频率传输；时间频率传递；时间频率比对；激光器；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子磁力计；量子纠缠；量子线路；量子计算；量子计算机；量子通信；频率基准；频率标准,6,5,1,22,量子计量/时间频率/PNT候选,量子传感,核心量子企业
上海光链电子科技有限公司,上海; 31,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；氢原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海国盾量子信息技术有限公司,上海; 31,2019,2021,3,20,6.666666666666667,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发；量子通信,1,2,0,0,量子通信与安全,量子通信与安全,核心量子企业
上海国科航星量子科技有限公司,上海; 31,2021,2021,3,15,5.0,量子通信与安全,量子通信与安全,量子通信,0,3,0,0,量子通信与安全,量子通信与安全,较高相关企业
上海图灵智算量子科技有限公司,上海; 31,2022,2022,3,43,14.333333333333334,量子计算,量子计算系统,entanglement；量子态；量子比特；量子线路；量子计算；量子计算机,3,0,0,0,量子计算系统,量子计算,核心量子企业
上海大学,上海; 31,2021,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
上海安密信科技有限公司,上海; 31,2020,2020,1,5,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
上海工程技术大学,上海; 31,2021,2021,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
上海循态信息科技有限公司,上海; 31,2019,2021,15,99,6.6,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,laser；量子保密通信；量子密钥；量子密钥分发；量子态；量子相干；量子通信,5,9,1,0,量子通信与安全,量子通信与安全,核心量子企业
上海循态量子科技有限公司,上海; 31,2021,2022,7,31,4.428571428571429,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,5,2,0,量子通信与安全,量子通信与安全,核心量子企业
上海微观纪元数字科技有限公司,上海; 31,2023,2023,1,19,19.0,量子通信与安全,量子通信与安全,qubit；分布式量子计算；量子比特；量子算法；量子计算；量子计算机,1,0,0,0,量子通信与安全,量子通信与安全,较高相关企业
上海思量量子科技有限公司,上海; 31,2021,2021,1,5,5.0,量子传感,其他量子相关/待复核,量子技术,0,1,0,0,其他量子相关/待复核,量子传感,候选/待复核企业
上海无线电设备研究所,上海; 31,2019,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海海事大学,上海; 31,2022,2022,1,15,15.0,量子传感,量子计算系统,entanglement；fidelity；laser；保真度；量子信息；量子比特,1,0,0,0,量子计算系统,量子传感,较高相关企业
上海理工大学,上海; 31,2021,2021,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,其他量子相关/待复核,量子基础概念,候选/待复核企业
上海瑞柯恩激光技术有限公司,上海; 31,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海电力学院,上海; 31,2019,2019,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,2,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海矢元电子股份有限公司,上海; 31,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海精密计量测试研究所,上海; 31,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率；原子钟频率驾驭；氢原子钟；频率驾驭,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海聆芯科技有限公司,上海; 31,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海联影医疗科技股份有限公司,上海; 31,2021,2021,4,20,5.0,量子传感,量子传感器/精密测量,NV色心,0,4,0,0,量子传感器/精密测量,量子传感,核心量子企业
上海航天测控通信研究所,上海; 31,2020,2021,3,9,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；氢原子钟,0,0,0,3,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海芯联芯智能科技有限公司,上海; 31,2022,2022,1,3,3.0,量子计算,量子计算系统,量子计算,0,0,1,0,量子计算系统,量子计算,候选/待复核企业
上海蓝色帛缔智能工程有限公司,上海; 31,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
上海裕达实业有限公司,上海; 31,2019,2022,6,30,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,6,0,0,量子计算硬件/量子芯片,量子计算硬件,核心量子企业
上海证锘信息科技有限公司,上海; 31,2021,2021,1,5,5.0,量子通信与安全,量子通信与安全,抗量子攻击,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
东京毅力科创株式会社,日本; JP,2020,2020,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
东北电力大学,吉林; 22,2020,2020,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
东华大学,上海; 31,2019,2022,2,14,7.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发；量子态,1,1,0,0,量子通信与安全,量子通信与安全,较高相关企业
东华理工大学,江西; 36,2019,2019,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
东南大学,江苏; 32,2019,2022,14,120,8.571428571428571,量子传感；量子计算；量子通信与安全,量子传感器/精密测量；量子计算系统；量子软件/算法/模拟；量子通信与安全,MOT；QKD；entanglement；fidelity；保真度；物理量子比特；逻辑量子比特；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子测量；量子算法；量子纠缠；量子线路；量子网络；量子计算；量子计算机；量子通信；量子门,6,8,0,0,量子计算系统,量子计算,核心量子企业
东莞理工学院,广东; 44,2022,2022,1,4,4.0,量子基础概念,其他量子相关/待复核,叠加态,0,0,1,0,其他量子相关/待复核,量子基础概念,候选/待复核企业
东风电动车辆股份有限公司,湖北; 42,2019,2019,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
中共中央办公厅电子科技学院,北京; 11,2019,2019,4,40,10.0,量子通信与安全,量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发,4,0,0,0,量子通信与安全,量子通信与安全,核心量子企业
中兴通讯股份有限公司,广东; 44,2019,2020,2,10,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子通信,0,2,0,0,量子通信与安全,量子通信与安全,较高相关企业
中创为(成都)量子通信技术有限公司,四川; 51,2021,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
中创通信技术(深圳)有限公司,广东; 44,2023,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
中北大学,山西; 14,2019,2023,7,57,8.142857142857142,量子传感,量子传感器/精密测量,NV色心；fidelity；laser；保真度；激光器；磁光阱；量子传感；量子传感器；量子比特；量子精密测量；金刚石NV色心,3,4,0,0,量子传感器/精密测量,量子传感,核心量子企业
中南大学,湖南; 43,2019,2022,38,283,7.447368421052632,量子传感；量子基础概念；量子计算；量子通信与安全,其他量子相关/待复核；量子计算系统；量子通信与安全,QKD；entanglement；laser；单光子探测器；激光器；量子信息；量子密钥；量子密钥分发；量子密钥分配；量子态；量子纠缠；量子线路；量子网络；量子计算；量子计算机；量子通信,14,22,2,0,量子通信与安全,量子通信与安全,核心量子企业
中南林业科技大学,湖南; 43,2022,2022,1,9,9.0,量子计算,量子计算系统,量子态；量子比特,1,0,0,0,量子计算系统,量子计算,较高相关企业
中南民族大学,湖北; 42,2022,2022,2,12,6.0,量子传感,上游材料与核心部件,laser；光调制器；激光器；量子信息,0,2,0,0,上游材料与核心部件,量子传感,较高相关企业
中原工学院,河南; 41,2019,2022,2,10,5.0,量子计算,量子计算系统,量子比特；量子计算,0,2,0,0,量子计算系统,量子计算,较高相关企业
中国中医科学院中国医史文献研究所,北京; 11,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国人民武装警察部队工程大学,陕西; 61,2019,2020,3,15,5.0,量子计算；量子通信与安全,量子计算系统；量子通信与安全,抗量子攻击；量子计算,0,3,0,0,量子通信与安全,量子通信与安全,较高相关企业
中国人民解放军61081部队,北京; 11,2020,2022,4,12,3.0,量子传感,量子计量/时间频率/PNT候选,原子时标；原子钟；原子钟联合守时；原子钟频率；氢原子钟；频率基准,0,0,0,4,量子计量/时间频率/PNT候选,量子传感,较高相关企业
中国人民解放军63686部队,江苏; 32,2020,2020,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国人民解放军63892部队,河南; 41,2020,2020,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国人民解放军63921部队,北京; 11,2019,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国人民解放军93216部队,北京; 11,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国人民解放军军事科学院国防科技创新研究院,北京; 11,2019,2023,9,48,5.333333333333333,量子传感；量子计算,量子传感器/精密测量；量子计算系统；量子计量/时间频率/PNT候选,laser；原子干涉；原子干涉仪；磁光阱；量子传感；量子芯片；量子计算；频率基准,0,8,0,1,量子传感器/精密测量,量子传感,核心量子企业
中国人民解放军国防科技大学,安徽; 34,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国人民解放军国防科技大学,江苏; 32,2020,2023,5,31,6.2,量子传感；量子通信与安全,量子计量/时间频率/PNT候选；量子通信与安全,QKD；量子保密通信；量子信息；量子密钥；量子密钥分发；量子比特；量子通信；频率基准,1,2,0,2,量子通信与安全,量子通信与安全,核心量子企业
中国人民解放军国防科技大学,湖南; 43,2019,2023,33,253,7.666666666666667,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子软件/算法/模拟；量子通信与安全,MOT；QKD；entanglement；laser；superposition；光调制器；冷原子干涉；冷原子干涉仪；单光子探测器；原子干涉；原子干涉仪；原子钟；叠加态；时间频率传递；激光器；离子阱；量子互联网；量子传感；量子传感器；量子保密通信；量子信息；量子信息技术；量子密钥；量子密钥分发；量子密钥分配；量子态；量子技术；量子模拟；量子比特；量子纠缠；量子网络；量子芯片；量子计算；量子计算机；量子通信；频率基准,11,17,1,4,量子通信与安全,量子通信与安全,核心量子企业
中国人民解放军总医院,北京; 11,2023,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
中国人民解放军战略支援部队信息工程大学,河南; 41,2019,2023,26,287,11.038461538461538,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,上游材料与核心部件；其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子软件/算法/模拟；量子通信与安全,fidelity；laser；qubit；qubits；superposition；保真度；单光子探测器；叠加态；激光器；物理量子比特；超导量子比特；超导量子芯片；量子信息；量子处理器；量子密钥；量子密钥分发；量子态；量子比特；量子测量；量子电路；量子算法；量子纠错；量子线路；量子网络；量子芯片；量子计算；量子计算机；量子误差校正；量子门,18,6,2,0,量子计算系统,量子计算,核心量子企业
中国人民解放军战略支援部队航天工程大学,北京; 11,2019,2021,9,35,3.888888888888889,量子传感；量子基础概念,其他量子相关/待复核；量子计量/时间频率/PNT候选,原子钟；叠加态,0,0,8,1,其他量子相关/待复核,量子基础概念,核心量子企业
中国人民解放军海军工程大学,湖北; 42,2019,2021,3,11,3.6666666666666665,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,原子干涉；频率基准,0,1,0,2,量子计量/时间频率/PNT候选,量子传感,较高相关企业
中国人民解放军火箭军工程大学,陕西; 61,2019,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国人民解放军空军工程大学,陕西; 61,2019,2019,2,10,5.0,量子传感,其他量子相关/待复核；量子计量/时间频率/PNT候选,entanglement；原子钟；量子技术,0,1,0,1,其他量子相关/待复核,量子传感,较高相关企业
中国人民解放军空军预警学院,湖北; 42,2022,2022,1,10,10.0,量子通信与安全,量子通信与安全,逻辑量子比特；量子密钥；量子密钥分发；量子比特,1,0,0,0,量子通信与安全,量子通信与安全,较高相关企业
中国人民银行清算总中心,北京; 11,2020,2020,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
中国信息通信研究院,北京; 11,2019,2021,7,51,7.285714285714286,量子传感；量子计算；量子通信与安全,量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,QKD；entanglement；量子保密通信；量子处理器；量子密钥；量子密钥分发；量子比特；量子纠缠；量子计算；量子通信；频率基准,3,3,0,1,量子通信与安全,量子通信与安全,核心量子企业
中国农业大学,北京; 11,2019,2019,1,5,5.0,量子传感,量子传感器/精密测量,量子传感；量子传感器,0,1,0,0,量子传感器/精密测量,量子传感,候选/待复核企业
中国医学科学院北京协和医院,北京; 11,2022,2022,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
中国医学科学院病原生物学研究所,北京; 11,2019,2019,1,5,5.0,量子计算,量子计算系统,qubit,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
中国十七冶集团有限公司,安徽; 34,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国地质大学(武汉),湖北; 42,2022,2022,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,量子计算系统,量子计算,候选/待复核企业
中国工商银行股份有限公司,北京; 11,2021,2021,1,9,9.0,量子通信与安全,量子通信与安全,量子态；量子通信,1,0,0,0,量子通信与安全,量子通信与安全,较高相关企业
中国建筑材料科学研究总院有限公司,北京; 11,2020,2020,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国建设银行股份有限公司,北京; 11,2021,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,量子通信与安全,量子通信与安全,候选/待复核企业
中国林业科学研究院林业研究所,北京; 11,2019,2019,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国水利水电科学研究院,北京; 11,2019,2019,1,5,5.0,量子计算,量子软件/算法/模拟,量子模拟,0,1,0,0,量子软件/算法/模拟,量子计算,候选/待复核企业
中国海洋大学,山东; 37,2020,2022,5,70,14.0,量子传感；量子通信与安全,量子计量/时间频率/PNT候选；量子通信与安全,entanglement；fidelity；保真度；原子钟；量子保密通信；量子信息；量子信息技术；量子态；量子纠缠；量子网络；量子通信,4,0,0,1,量子通信与安全,量子通信与安全,核心量子企业
中国电信股份有限公司,北京; 11,2019,2022,10,54,5.4,量子计算；量子通信与安全,量子软件/算法/模拟；量子通信与安全,QKD；量子密钥；量子密钥分发；量子密钥分配；量子态；量子模拟,1,9,0,0,量子通信与安全,量子通信与安全,核心量子企业
中国电力科学研究院有限公司,北京; 11,2019,2023,3,17,5.666666666666667,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,NV色心；laser；量子测量；金刚石NV色心；频率基准；频率标准,1,0,0,2,量子计量/时间频率/PNT候选,量子传感,较高相关企业
中国电子技术标准化研究院,北京; 11,2021,2023,2,13,6.5,量子传感；量子计算,量子计算系统；量子计量/时间频率/PNT候选,fidelity；保真度；原子钟；量子比特；量子计算,1,0,0,1,量子计算系统,量子计算,较高相关企业
中国电子科技集团公司信息科学研究院,北京; 11,2021,2021,2,15,7.5,量子通信与安全,量子通信与安全,QKD；量子保密通信；量子密钥；量子密钥分发,1,1,0,0,量子通信与安全,量子通信与安全,较高相关企业
中国电子科技集团公司电子科学研究院,北京; 11,2019,2019,8,53,6.625,量子通信与安全,量子通信与安全,单光子探测器；量子保密通信；量子密钥；量子密钥分发,2,6,0,0,量子通信与安全,量子通信与安全,核心量子企业
中国电子科技集团公司第三十九研究所,陕西; 61,2020,2020,2,10,5.0,量子传感,量子传感器/精密测量,量子精密测量,0,2,0,0,量子传感器/精密测量,量子传感,较高相关企业
中国电子科技集团公司第三十六研究所,浙江; 33,2021,2021,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,2,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国电子科技集团公司第三十四研究所,广西; 45,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率驾驭,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国电子科技集团公司第三十研究所,四川; 51,2019,2022,33,176,5.333333333333333,量子基础概念；量子计算；量子通信与安全,其他量子相关/待复核；量子计算系统；量子通信与安全,QKD；laser；lasers；激光器；量子保密通信；量子密钥；量子密钥分发；量子态；量子计算；量子计算机,2,29,2,0,量子通信与安全,量子通信与安全,核心量子企业
中国电子科技集团公司第二十九研究所,四川; 51,2019,2022,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率；铷原子钟,0,0,0,2,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国电子科技集团公司第五十四研究所,河北; 13,2019,2022,11,33,3.0,量子传感,量子计量/时间频率/PNT候选,光钟；原子钟；原子频标；时间频率传递；铷原子钟；频率基准；频率标准,0,0,0,11,量子计量/时间频率/PNT候选,量子传感,核心量子企业
中国电子科技集团公司第十三研究所,河北; 13,2021,2022,5,29,5.8,量子传感,量子传感器/精密测量,NV色心；laser；光调制器；激光器；金刚石NV色心,0,5,0,0,量子传感器/精密测量,量子传感,核心量子企业
中国电子科技集团公司第十二研究所,北京; 11,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铯原子钟,0,0,0,1,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
中国电子科技集团公司第四十一研究所,山东; 37,2021,2021,1,8,8.0,量子传感,上游材料与核心部件,单光子探测器；量子信息；量子信息技术,1,0,0,0,上游材料与核心部件,量子传感,较高相关企业
